a,ه
yesâr,یسار
ye'sefzâ,یأس افزا
yesîr,یسير
yetîm,یتيم
yetîme,یتيمه
yetîmhâne,یتيم خانه
yevâkît,یواقيت
yevm,يوم
yevmenfeyevmen,یوما فيوما
yevmî,یومی
yevmiyye,یومی
yezdân,یزدان
yubûset,یبوست
yûğ,یوغ
yusuf,يوسف
yusuf,يوسف
yûz,یوز
yübûset,یبوست
yümkin,یمکن
yümn,یمن
yümnâ,یمنی
yümnî,یمنی
yüsr,یسر
yüsrâ,یسری
zâbıta,ضابطه
zâbih,ذابح
zâbit,ضابط
zâbitân,ضابطان
zabt,ضبط
zabtiyye,ضبطيه
zabtnâme,ضبط نامه
zabtürabt,ضبط و ربط
zâc,زاج
zâd,زاد
zâd,زاد
zâde,زاده
zâdegân,زادگان
za'f,ضعف
zafer,ظفر
za'ferân,زعفران
zaferyâb,ظفریاب
za'fî,ضعفی
za'fiyyet,ضعفيت
zâğ,زاغ
zağan,زغن
zahâir,ذخائر
zâhib,ذاهب
zâhid,زاهد
zâhidâne,زاهدانه
zâhir,ظاهر
zâhirbîn,ظاهربين
zahîre,ذخيره
zâhiren,ظاهرا
zâhirî,ظاهری
zâhirperest,ظاهرپرست
zahm,زخم
zahmdâr,زخمدار
zahme,زخمه
zahmet,زحمت
zahmzede,زخم زده
zahr,ظهر
zahriye,ظهریه
zâid,زائد
zaîf,ضعيف
zâik,ذائق
zâika,ذائقه
zâil,زائل
zâir,زائر
zâkir,ذاکر
zakkûm,زقوم
zâl,زال
zalâm,ظلام
zâlim,ظالم
zâlimâne,ظالمانه
zamâim,ضمائم
zamâne,زمانه
zamîme,ضميمه
zamimeten,ضميمة
zâmin,ضامن
zamîr,ضمير
zamm,ضم
zamme,ضمه
zan,ظن
zanbak,زنبق
zanîn,ظنين
zann,ظن
zânû,زانو
zâr,زار
zâr,زار
zarâfet,ظرافت
zarar,ضرر
zarardîde,ضرردیده
zarb,ضرب
zarbhâne,ضرب خانه
zarf,ظرف
zarfiyyet,ظرفيت
zâri',زارع
zârî,زاری
zarîf,ظریف
zarîfâne,ظریفانه
zarûrât,ضرورات
zarûret,ضرورت
zarûrî,ضروری
zarûriyyât,ضروریات
zât,ذات
zâten,ذاتا
zâtî,ذاتی
zâtülcenb,ذات الجنب
zâtürrie,ذات الرئه
zav',ضوء
zavâhir,ظواهر
zâviye,زاویه
zâyi',ضایع
zâyi'ât,ضایعات
zebân,زبان
zebândıraz,زبان دراز
zebâne,زبانه
zebânzed,زبانزد
zeber,زبر
zebercedî,زبرجدی
zebh,ذبح
zebîh,ذبيح
zebîl,زبيل
zebûn,زبون
zecr,زجر
zecrî,زجری
zede,زده
zehâb,ذهاب
zeheb,ذهب
zehr,زهر
zehr,زهر
zehre,زهره
zehrhand,زهرخند
zehrnâk,زهرناک
zekâ,ذکا
zekan,زقن
zekâvet,ذکاوت
zeker,ذکر
zelâzil,زلازل
zelîl,ذليل
zell,زل
zelzele,زلزله
zemân,زمان
zemâne,زمانه
zemherîr,زمهریر
zemîm,ذميم
zemîn,زمين
zeminbûsî,زمين بوسی
zemistan,زمستان
zemistânî,زمستانی
zemm,ذم
zemzeme,زمزمه
zen,زن
zenâdıka,زنادقه
zenâne,زنانه
zenb,ذنب
zenbîl,زنبيل
zenbûrek,زنبورک
zencebîl,زنجبيل
zencî,زنجی
zencîr,زنجير
zencîrbend,زنجيربند
zencîrî,زنجيری
zendeka,زندقه
zendost,زن دوست
zeneb,ذنب
zenehdân,زنخدان
zeng,زنگ
zengî,زنگی
zengûle,زنگوله
zenne,زنه
zenperest,زن پرست
zer,زر
zer',زرع
zerâfe,زرافه
zerbâf,زرباف
zerd,زرد
zerdâlû,زردالو
zerde,زرده
zerdûz,زردوز
zerefşân,زرافشان
zerger,زرگر
zerharîd,زرخرید
zerîn,زرین
zerk,زرق
zerrâ',زراع
zerrâk,زراق
zerrât,ذرات
zerre,ذره
zerreşikâf,ذره شکاف
zerrin,زرین
zevâl,زوال
zevâlnâpezîr,زوال ناپذیر
zevâlpezîr,زوالپذیر
zevât,ذوات
zevâyâ,زوایا
zevc,زوج
zevcât,زوجات
zevce,زوجه
zevceteyn,زوجتين
zevceyn,زوجين
zevciyet,زوجيت
zevebân,ذوبان
zevk,ذوق
zevkbahş,ذوق بخش
zevrak,زورق
zeyl,ذیل
zeylen,ذیلا
zeyn,زین
zeytûn,زیتون
zıdd,ضد
zıddiyyet,ضدیت
zılâl,ظلال
zıll,ظل
zımnen,ضمنا
zımnî,ضمنی
zırh,زره
zırhpûş,زره پوش
zıyâ',ضياء
zıyâ',ضياع
zî,ذی
zi'b,ذئب
zîbâ,زیبا
zîbak,زیبق
zîbâyî,زیبایی
zîc,زیج
zifâf,زفاف
zih,زه
zîhayât,ذی حيات
zihgîr,زهگير
zihî,زهی
zihin,ذهن
zihn,ذهن
zihnen,ذهنا
zihnî,ذهنی
zihniyyet,ذهنيت
zîk,ضيق
zîkıymet,ذی قيمت
zikr,ذکر
zîkudret,ذی قدرت
zillet,ذلت
zilzâl,زلزال
zimâm,زمام
zimâmdâr,زمامدار
zîmedhal,ذی مدخل
zimmet,ذمت
zîn,زین
zinâ',زناء
zinâkâr,زناکار
zindân,زندان
zindânî,زندانی
zinde,زنده
zindegânî,زندگانی
zindîk,زندیق
zînet,زینت
zinhâr,زنهار
zîr,زیر
zîrâ,زیرا
zirâ'at,زراعت
zirâ'î,زراعی
zîrdest,زیردست
zîre,زیره
zîrek,زیرک
zîrîn,زیرین
zîrûh,ذی روح
zîrüzeber,زیر و زبر
zirve,زروه
zîşan,ذی شان
zişt,زشت
ziştî,زشتی
zîvekâr,ذی وقار
zîver,زیور
ziyâ',ضياء
ziyâdâr,ضيادار
ziyâde,زیاده
ziyâfet,ضيافت
ziyân,زیان
ziyânkâr,زیانکار
ziyâretgâh,زیارتگاه
zû',ضوء
zuafâ',ضعفا
zu'bân,ذؤبان
zucret,ضجرت
zûd,زود
zufr,ظفر
zuhr,ظهر
zuhûr,ظهور
zuhûrât,ظهورات
zukâk,زقاق
zulm,ظلم
zulmânî,ظلمانی
zulmet,ظلمت
zulmetefzâ,ظلمت افزا
zulümât,ظلمات
zu'm,زعم
zunûn,ظنون
zûr,زور
zurafâ,ظرفا
zûrbâ,زوربا
zûrmend,زورمند
zurûf,ظروف
zübde,زبده
zücâc,زجاج
zücâciyye,زجاجيه
zühd,زهد
zühhâd,زهاد
zühre,زهره
zührevî,زهروی
zühûl,ذهول
zükâm,زکام
zükûr,ذکور
zülâl,زلال
zülf,زلف
züll,ذل
zülüf,زلف
zümre,زمره
zümûm,ذموم
zümürrüd,زمرد
zünbûr,زنبور
zünnâr,زنار
zünûb,ذنوب
zürâfe,زرافه
zürefâ,ظرفا
zürrâ',زراع
zürriyyât,ذریات
zürriyyet,ذریت
züvvâr,زوار
züyûl,ذیول
